Shrewsbury,Spring Lake,,,303,8,,,,,,,,
Cambridge,Sterling Pond,300,9.1,,,,,,,,,,
Stowe,Sterling Pond,300,9.1,,,,,,,,,,
Barnet,Stevens River,,,,,100,10.5,,,,,,
Barnet,Stevens River,300,9.6,,,,,,,,,,
Weathersfield,Stoughton Pond,,,,,510,16,,,,,,
Brookfield,Sunset Lake,,,,,225,17.4,,,,,,
Brookfield,Sunset Lake,800,9.6,,,,,,,,,,
Benson,Sunset Lake,,,,,1000,10.9,,,,,,
Benson,Sunset Lake,,,310,7.27,,,,,,,,
Vernon,Vernon Hatchery Pond,700,8.7,,,,,,,,,,
Vernon,Vernon Hatchery Pond,,,,,,,,,100,8,,
Canaan,Wallace Pond,,,,,,,,,2000,8.9,,
Bennington,Walloomsac River,,,,,,,,,200,15.5,,
Bennington,Walloomsac River South Stream,800,0,,,,,,,,,,
Waterbury,Waterbury Reservoir,,,,,,,,,1000,9,,
Stowe,Waterbury Reservoir,,,,,,,,,1000,9,,
Waterbury,Waterbury Reservoir,,,,,750,10,,,,,,
Stowe,Waterbury Reservoir,,,,,750,10,,,,,,
Groton,Wells River,250,9.6,,,,,,,,,,
Ryegate,Wells River,250,9.6,,,,,,,,,,
Jamaica,West River,,,,,500,10.5,,,,,,
West Rutland,Whipple Hollow Brook,213,9.69,,,,,,,,,,
West Rutland,Whipple Hollow Brook,213,9.69,,,,,,,,,,
Stockbridge,White River,,,,,1700,10.5,,,,,,
Royalton-Sharon,White River,,,,,2200,10.5,,,,,,
Sharon,White River,,,,,2200,10.5,,,,,,
Hartford,White River,,,,,2200,10.5,,,,,,
Chelsea,White River First Branch,350,9.1,,,,,,,,,,
 Tunbridge,White River First Branch,350,9.1,,,,,,,,,,
Roxbury,White River Third Branch,250,9.1,,,,,,,,,,
Randolph,White River Third Branch,250,9.1,,,,,,,,,,
Roxbury,White River Third Branch,250,9.1,,,,,,,,,,
Randolph,White River Third Branch,250,9.1,,,,,,,,,,
Waterbury,Winooski River,,,,,,,,,175,17,,
 Duxbury,Winooski River,,,,,,,,,175,17,,
Marshfield,Winooski River,250,9.1,,,,,,,,,,
Plainfield,Winooski River,250,9.1,,,,,,,,,,
Waterbury,Winooski River,,,,,250,16,,,,,,
 Duxbury,Winooski River,,,,,250,16,,,,,,
Waterbury,Winooski River,,,,,250,16,,,,,,
 Duxbury,Winooski River,,,,,250,16,,,,,,
Worcester,Winooski River North Branch,400,9.1,,,,,,,,,,
Plymouth,Woodward Reservoir,,,,,990,10.5,,,,,,
Plymouth,Woodward Reservoir,,,,,,,,,550,9,,
Hyde Park,Zack Woods-Perch Ponds,150,9.1,,,,,,,,,,
Wolcott,Zack Woods-Perch Ponds,150,9.1,,,,,,,,,,
