town,parent,water,bkt,bkt-length,lat,lat-length,rbt,rbt-length,stt,stt-length,bnt,bnt-length,las,las-length,total
Peru,5152,,,,,,,,,,,,,,
Pittsfield,5762,,,,,,,,,,,,,,
Pittsford,Pittsford,Smith Pond,658,9.425531915,0,0,0,0,0,0,0,0,0,0,
Pittsford,5763,MASTER,658,0,0,0,0,0,0,0,0,0,0,0,658
Plainfield,Plainfield,Winooski River,250,9.1,0,0,0,0,0,0,0,0,0,0,
Plainfield,5667,MASTER,250,0,0,0,0,0,0,0,0,0,0,0,250
Plymouth,Plymouth,Amherst Lake,0,0,100,8,1200,13.775,0,0,0,0,0,0,
Plymouth,Plymouth,Echo Lake,0,0,100,8,1500,13.3,0,0,0,0,0,0,
Plymouth,Plymouth,Woodward Reservoir,0,0,0,0,990,10.5,0,0,550,9,0,0,
Plymouth,5056,MASTER,0,0,200,0,3690,0,0,0,550,0,0,0,4440
Post Mills,5058,,,,,,,,,,,,,,
Poultney,Poultney,Lake St Catherine,0,0,0,0,670,10.6,0,0,5000,9,0,0,
Poultney,Poultney,Poultney River,1008,9,0,0,0,0,0,0,0,0,0,0,
Poultney,5764,MASTER,1008,0,0,0,670,0,0,0,5000,0,0,0,6678
Pownal,Pownal,Hoosic River Lower,0,0,0,0,0,0,0,0,600,9.2,0,0,
Pownal,5261,MASTER,0,0,0,0,0,0,0,0,600,0,0,0,600
Proctor,Proctor,Otter Creek,0,0,0,0,0,0,0,0,1000,9.6,0,0,
Proctor,5765,MASTER,0,0,0,0,0,0,0,0,1000,0,0,0,1000
Proctorsville,5153,,,,,,,,,,,,,,
Putney,5346,,,,,,,,,,,,,,
Quechee,5059,,,,,,,,,,,,,,
Randolph,Randolph,White River Third Branch,500,9.1,0,0,0,0,0,0,0,0,0,0,
Randolph,5060,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Randolph Center,5061,,,,,,,,,,,,,,
Reading,Reading,Knapp Pond No 1,0,0,0,0,2175,10.37356322,0,0,0,0,0,0,
Reading,5062,MASTER,0,0,0,0,2175,0,0,0,0,0,0,0,2175
Readsboro,5350,,,,,,,,,,,,,,
Richford,5476,,,,,,,,,,,,,,
Richmond,5477,,,,,,,,,,,,,,
Ripton,Ripton,Middlebury River Upper,500,9.1,0,0,0,0,0,0,0,0,0,0,
Ripton,5766,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Rochester,5767,,,,,,,,,,,,,,
Roxbury,Roxbury,White River Third Branch,500,9.1,0,0,0,0,0,0,0,0,0,0,
Roxbury,5669,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Royalton,Royalton,McIntosh Pond,700,9.1,0,0,800,12.175,0,0,0,0,0,0,
Royalton,Royalton,White River,0,0,0,0,1100,10.5,0,0,0,0,0,0,
Royalton,5068,MASTER,700,0,0,0,1900,0,0,0,0,0,0,0,2600
Rupert,5768,,,,,,,,,,,,,,
Rutland,Rutland,East Creek,0,0,0,0,1500,15.35,0,0,0,0,0,0,
Rutland,5701,MASTER,0,0,0,0,1500,0,0,0,0,0,0,0,1500
Ryegate,Ryegate,Wells River,250,9.6,0,0,0,0,0,0,0,0,0,0,
Ryegate,5042,MASTER,250,0,0,0,0,0,0,0,0,0,0,0,250
Saint Albans,Saint Albans,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.71,7700,7.71,
Saint Albans,5478,MASTER,0,0,0,0,0,0,0,0,4400,0,7700,0,12100
Saint Albans Bay,5481,,,,,,,,,,,,,,
Saint Johnsbury,Saint Johnsbury,Passumpsic River,0,0,0,0,500,16,0,0,500,15.1,0,0,
Saint Johnsbury,Saint Johnsbury,Passumpsic River,0,0,0,0,550,10.5,0,0,700,9.3,0,0,
Saint Johnsbury,Saint Johnsbury,Sleepers River,0,0,0,0,100,10.5,0,0,125,9.3,0,0,
Saint Johnsbury,5819,MASTER,0,0,0,0,600,0,0,0,625,0,0,0,1225
Saint Johnsbury,5819,MASTER,0,0,0,0,550,0,0,0,700,0,0,0,1250
Salisbury,Salisbury,Lake Dunmore,0,0,505,7.27,450,10.4,0,0,0,0,0,0,
Salisbury,5769,MASTER,0,0,505,0,450,0,0,0,0,0,0,0,955
Saxtons River,5154,,,,,,,,,,,,,,
Shaftsbury,Shaftsbury,Big Cold Spring Brook,500,0,0,0,0,0,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Furnace Brook,250,0,0,0,0,0,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Lake Paran,0,0,0,0,500,13.4,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Lake Shaftsbury,0,0,0,0,300,15.8,0,0,0,0,0,0,
Shaftsbury,Shaftsbury,Shaftsbury Hollow Brook,400,0,0,0,0,0,0,0,0,0,0,0,
Shaftsbury,5262,MASTER,1150,0,0,0,800,0,0,0,0,0,0,0,1950
Sharon,Sharon,White River,0,0,0,0,3300,10.5,0,0,0,0,0,0,
Sharon,5065,MASTER,0,0,0,0,3300,0,0,0,0,0,0,0,3300
Sheffield,Sheffield,Millers Run,50,9.6,0,0,0,0,0,0,0,0,0,0,
Sheffield,5866,MASTER,50,0,0,0,0,0,0,0,0,0,0,0,50
Shelburne,Shelburne,Lake Champlain,0,0,0,0,0,0,3000,7.41,0,0,4872,7.75,
Shelburne,5482,MASTER,0,0,0,0,0,0,3000,0,0,0,4872,0,7872
Sheldon Springs,5485,,,,,,,,,,,,,,
Shoreham,5770,,,,,,,,,,,,,,
Shrewsbury,Shrewsbury,Cold River,570,9.1,0,0,0,0,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Cold River Lower,0,0,0,0,0,0,0,0,500,9,0,0,
Shrewsbury,Shrewsbury,Freeman Creek,505,9,0,0,0,0,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Mill River,252,9,0,0,0,0,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Mill River Mid,0,0,0,0,550,12.1,0,0,0,0,0,0,
Shrewsbury,Shrewsbury,Spring Lake,502,9,303,8,0,0,0,0,0,0,0,0,
Shrewsbury,5738,MASTER,1829,0,303,0,550,0,0,0,500,0,0,0,3182
Somerset,5360,,,,,,,,,,,,,,
South Burlington,5403,,,,,,,,,,,,,,
South Hero,South Hero,Lake Champlain,0,0,0,0,0,0,0,0,4400,8.64,7000,7.374367143,
South Hero,5486,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0,11400
South Londonderry,5155,,,,,,,,,,,,,,
South Pomfret,5067,,,,,,,,,,,,,,
South Ryegate,5069,,,,,,,,,,,,,,
South Strafford,5070,,,,,,,,,,,,,,
South Woodstock,5071,,,,,,,,,,,,,,
Springfield,5156,,,,,,,,,,,,,,
Stamford,Stamford,Hoosic River North Branch,0,0,0,0,0,0,0,0,1900,9,0,0,
Stamford,5352,MASTER,0,0,0,0,0,0,0,0,1900,0,0,0,1900
Starksboro,Starksboro,Lewis Creek,700,9.1,0,0,0,0,0,0,0,0,0,0,
Starksboro,5487,MASTER,700,0,0,0,0,0,0,0,0,0,0,0,700
Stockbridge,Stockbridge,White River,0,0,0,0,1700,10.5,0,0,0,0,0,0,
Stockbridge,5772,MASTER,0,0,0,0,1700,0,0,0,0,0,0,0,1700
