Water,Town,Location,Species,Planned #,# Stocked,Age,Length,Date Stocked,County
Lake Champlain,Ferrisburg,Main Lake - Otter Creek - Dam,LAS,10000,3740,YR,7.48,3/28/13,Addison
Lake Champlain,Ferrisburg,Main Lake - Otter Creek - Dam,LAS,10000,7260,YR,7.48,3/28/13,Addison
Lake Champlain,Winooski,Main Lake - Winooski River -Salmon Hole,LAS,7500,7500,YR,7.65,4/3/13,chittenden
Lake Champlain,Winooski,Main Lake - Winooski River -Salmon Hole,LAS,7500,0,YR,0,4/3/13,chittenden
Lake Champlain,Colchester,Main Lake - Winooski River - Access Area,LAS,2500,2370,YR,7.65,4/4/13,chittenden
Lake Champlain,Milton,Inland Sea - Van Everest Access,LAS,3500,2216,YR,7.68,4/4/13,Chittenden
Lake Champlain,Milton,Inland Sea - Van Everest Access,LAS,3500,1284,YR,7.71,4/4/13,Chittenden
Lake Champlain,Milton,Inland Sea - Van Everest Access,LAS,3500,1403,YR,7.52,4/4/13,Chittenden
Lake Champlain,Milton,Inland Sea - Van Everest Access,LAS,3500,2096,YR,7.71,4/4/13,Chittenden
Lake Champlain,St. Albans,Inland Sea - Kile Kare Access,LAS,7000,7700,YR,7.71,4/4/13,Franklin
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,LAS,3500,272,YR,7.13,4/3/13,Grand Isle
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,LAS,3500,2097,YR,7.68,4/3/13,Grand Isle
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,LAS,3500,1194,YR,7.71,4/3/13,Grand Isle
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,LAS,3500,2243,YR,7.52,4/3/13,Grand Isle
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,LAS,3500,1194,YR,7.71,4/3/13,Grand Isle
Lake Champlain,Shelburne,Shelburne Shipyard,LAS,4872,4872,YR,7.75,4/5/13,chittenden
Lake Champlain,Charlotte,Main Lake - Charlotte Ferry,LAS,8000,5920,YR,7.75,4/5/13,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,LAT,25000,5425,YR,7.37,11/5/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,LAT,25000,5425,YR,7.37,11/5/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,LAT,25000,7090,YR,7.37,11/5/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,LAT,25000,7090,YR,7.37,11/5/12,Chittenden
Lake Champlain,Colchester,Malletts Bay - Marble Island Resort,BNT,10000,3400,YR,8.8,11/6/12,Chittenden
Lake Champlain,Colchester,Malletts Bay - Marble Island Resort,BNT,10000,3400,YR,8.8,11/6/12,Chittenden
Lake Champlain,Colchester,Malletts Bay - Marble Island Resort,BNT,10000,3400,YR,8.8,11/6/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,BNT,7000,3400,YR,8.8,11/6/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,BNT,7000,900,YR,8.8,11/7/12,Chittenden
Lake Champlain,Burlington,Main Lake - Burlington Harbor,BNT,7000,3400,YR,8.8,11/7/12,Chittenden
Lake Champlain,Ferrisburg,Main Lake - Arnolds Bay,LAT,5000,3400,YR,7.42,11/7/12,Addison
Lake Champlain,Ferrisburg,Main Lake - Arnolds Bay,LAT,5000,1602,YR,7.37,11/7/12,Addison
Lake Champlain,North Hero,Inland Sea - Stephenson Pt. Access,BNT,4000,4400,YR,8.71,11/7/12,Grand Isle
Lake Champlain,St. Albans,Inland Sea - Kile Kare St. Park,BNT,4000,4400,YR,8.71,11/8/12,Franklin
Lake Champlain,Milton,Inland Sea - Van Everest Access,BNT,4000,4400,YR,8.71,11/8/12,Chittenden
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,BNT,4000,3983,YR,8.71,11/8/12,Grand Isle
Lake Champlain,Grand Isle,Inland Sea - Grand Isle State Park,BNT,4000,423,YR,8.64,11/8/12,Grand Isle
Lake Champlain,Ferrisburg,Main Lake - Kingsland Bay,BNT,7000,3850,YR,8.64,11/13/12,Addison
Lake Champlain,Ferrisburg,Main Lake - Kingsland Bay,BNT,7000,3850,YR,8.64,11/13/12,Addison
Lake Champlain,South Hero,Inland Sea - Appletree Bay,BNT,4000,4400,YR,8.64,11/13/12,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,BNT,4000,4400,YR,8.64,11/15/12,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,BNT,4000,1651,YR,8.64,11/15/12,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Grand Isle Ferry,LAT,14000,7080,YR,7.42,11/15/12,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Grand Isle Ferry,LAT,14000,7080,YR,7.42,11/15/12,Grand Isle
Lake Champlain,Charlotte,Main Lake - Charlotte Ferry,LAT,13000,5605,YR,7.42,11/20/12,Chittenden
Lake Champlain,Charlotte,Main Lake - Charlotte Ferry,LAT,13000,7080,YR,7.42,11/20/12,Chittenden
Lake Champlain,Grand Isle,Vantines Access,LAT,157,157,YR,7.42,11/27/12,grand Isle
