Huntington,5462,MASTER,1200,0,0,0,0,0,0,0,0,0,0,0,1200
Danville,5828,MASTER,300,0,0,0,935,0,0,0,1100,0,0,0,2335
Reading,5062,MASTER,0,0,0,0,2175,0,0,0,0,0,0,0,2175
Swanton,5488,MASTER,0,0,0,0,0,0,0,0,0,0,20000,0,20000
Grand Isle,5458,MASTER,0,0,14317,0,0,0,12000,0,10457,0,17000,0,53774
Charlotte,5445,MASTER,0,0,12685,0,0,0,0,0,0,0,13920,0,26605
Colchester,5446,MASTER,0,0,0,0,0,0,10000,0,10200,0,2370,0,22570
Winooski,5404,MASTER,0,0,0,0,0,0,10000,0,0,0,7500,0,17500
Milton,5468,MASTER,0,0,0,0,0,0,5144,0,4400,0,26999,0,36543
Shelburne,5482,MASTER,0,0,0,0,0,0,3000,0,0,0,4872,0,7872
Ferrisburgh,5456,MASTER,0,0,5002,0,0,0,17328,0,7700,0,18726,0,48756
South Hero,5486,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0,11400
Saint Albans,5478,MASTER,0,0,0,0,0,0,0,0,4400,0,7700,0,12100
North Hero,5474,MASTER,0,0,0,0,0,0,0,0,4400,0,7000,0,11400
Burlington,5408,MASTER,0,0,25030,0,0,0,0,0,7700,0,0,0,32730
Salisbury,5769,MASTER,0,0,505,0,450,0,0,0,0,0,0,0,955
Greensboro,5841,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0,1000
Fairlee,5045,MASTER,0,0,0,0,900,0,0,0,1500,0,0,0,2400
Newport,5855,MASTER,0,0,0,0,0,0,0,0,0,0,30000,0,30000
Ludlow,5149,MASTER,0,0,100,0,1400,0,0,0,600,0,0,0,2100
Poultney,5764,MASTER,1008,0,0,0,670,0,0,0,5000,0,0,0,6678
Fairfax,5454,MASTER,0,0,0,0,0,0,0,0,800,0,0,0,800
Morristown,5661,MASTER,0,0,0,0,400,0,0,0,0,0,0,0,400
Cambridge,5444,MASTER,1000,0,0,0,500,0,0,0,700,0,0,0,2200
Johnson,5656,MASTER,0,0,0,0,2300,0,0,0,0,0,0,0,2300
Waterville,5492,MASTER,0,0,0,0,0,0,0,0,700,0,0,0,700
Groton,5046,MASTER,350,0,0,0,0,0,0,0,0,0,0,0,350
Starksboro,5487,MASTER,700,0,0,0,0,0,0,0,0,0,0,0,700
Hartland,5048,MASTER,200,0,0,0,0,0,0,0,0,0,0,0,200
